"","Assembly.Accession","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Organism.Name","Assembly.Submission.Date","file"
"604","GCA_000787555.1","Contig",1994,NA,"Pseudopleuronectes yokohamae","2014-11-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000787555.1/GCA_000787555.1_Pyoko_1.0_genomic.fna"
"402","GCA_001593715.1","Scaffold",81271,1145539,"Miichthys miiuy","2016-03-17","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_001593715.1/GCA_001593715.1_ASM159371v1_genomic.fna"
"202","GCA_001660625.3","Chromosome",20961409,29208522,"Ictalurus punctatus","2022-10-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_001660625.3/GCA_001660625.3_Coco_2.0_genomic.fna"
"403","GCA_001698575.1","Scaffold",23239,8766736,"Mola mola","2016-08-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_001698575.1/GCA_001698575.1_ASM169857v1_genomic.fna"
"404","GCA_002120245.1","Scaffold",70439,109974,"Maccullochella peelii","2017-05-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002120245.1/GCA_002120245.1_mcod_v1_genomic.fna"
"802","GCA_002217815.1","Scaffold",872227,5610255,"Seriola quinqueradiata","2017-07-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002217815.1/GCA_002217815.1_Squ_2.0_genomic.fna"
"405","GCA_002592385.1","Contig",10978,NA,"Micropterus floridanus","2017-10-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002592385.1/GCA_002592385.1_ASM259238v1_genomic.fna"
"3","GCA_002895965.2","Scaffold",62406,188223,"Coryphaenoides rupestris","2021-06-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002895965.2/GCA_002895965.2_CRUPv2_genomic.fna"
"605","GCA_002897255.1","Scaffold",2822,4644,"Pagrus major","2017-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002897255.1/GCA_002897255.1_Pmaj_1.0_genomic.fna"
"803","GCA_002994505.1","Scaffold",740108,9509606,"Seriola rivoliana","2018-03-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_002994505.1/GCA_002994505.1_ASM299450v1_genomic.fna"
"804","GCA_003231725.1","Scaffold",2430,3045,"Thunnus thynnus","2018-06-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003231725.1/GCA_003231725.1_GBYP_Tthy_1.0_genomic.fna"
"203","GCA_003317085.1","Scaffold",37639,287338,"Hucho hucho","2018-07-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003317085.1/GCA_003317085.1_ASM331708v1_genomic.fna"
"406","GCA_003416845.1","Scaffold",29992,1126915,"Oplegnathus fasciatus","2018-08-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003416845.1/GCA_003416845.1_ASM341684v1_genomic.fna"
"606","GCA_003573665.1","Scaffold",257093,257093,"Oxygymnocypris stewartii","2018-09-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003573665.1/GCA_003573665.1_Novo_Ost_1.0_genomic.fna"
"607","GCA_003604335.1","Scaffold",10878,25577,"Sardina pilchardus","2018-10-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003604335.1/GCA_003604335.1_UP_Spi_genomic.fna"
"805","GCA_003711565.2","Chromosome",4357567,15676631,"Takifugu flavidus","2019-08-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003711565.2/GCA_003711565.2_ASM371156v2_genomic.fna"
"608","GCA_003999625.1","Chromosome",3558013,35390520,"Oryzias javanicus","2019-01-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_003999625.1/GCA_003999625.1_OJAV_1.1_genomic.fna"
"407","GCA_004023545.1","Chromosome",42653,22343975,"Lateolabrax maculatus","2019-01-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_004023545.1/GCA_004023545.1_ASM402354v1_genomic.fna"
"806","GCA_004026145.2","Chromosome",1312995,16785490,"Takifugu bimaculatus","2019-06-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_004026145.2/GCA_004026145.2_XU_Tbim_1.0_genomic.fna"
"609","GCA_004124795.1","Scaffold",2273,2931,"Poropuntius huangchuchieni","2019-01-31","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_004124795.1/GCA_004124795.1_ASM412479v1_genomic.fna"
"610","GCA_004335475.1","Scaffold",523845,976167,"Pseudoliparis sp. Yap Trench","2019-03-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_004335475.1/GCA_004335475.1_ASM433547v1_genomic.fna"
"611","GCA_005024645.1","Contig",3973280,NA,"Planiliza haematocheilus","2019-05-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_005024645.1/GCA_005024645.1_Liza_haematocheila_0.1_genomic.fna"
"408","GCA_005408345.1","Scaffold",678975,845515,"Macquaria australasica","2019-05-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_005408345.1/GCA_005408345.1_DU_Maus_v1.0_genomic.fna"
"807","GCA_006030095.1","Scaffold",2549348,2872994,"Triplophysa siluroides","2019-06-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006030095.1/GCA_006030095.1_ASM603009v1_genomic.fna"
"612","GCA_006182925.3","Chromosome",3108829,25015410,"Reinhardtius hippoglossoides","2021-05-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006182925.3/GCA_006182925.3_UL_REHI_2.0_genomic.fna"
"409","GCA_006348945.1","Scaffold",9903,375216,"Liparis tanakae","2019-06-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006348945.1/GCA_006348945.1_SNU_Ltan_1.0_genomic.fna"
"613","GCA_006937955.1","Scaffold",76641,3173794,"Pachypanchax playfairii","2019-07-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006937955.1/GCA_006937955.1_MPIBA_Ppla_1.0_genomic.fna"
"11","GCA_006937965.1","Scaffold",52012,1656350,"Callopanchax toddi","2019-07-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006937965.1/GCA_006937965.1_MPIBA_Ctod_1.0_genomic.fna"
"12","GCA_006937985.1","Scaffold",119465,1435212,"Aphyosemion australe","2019-07-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006937985.1/GCA_006937985.1_MPIBA_Aaus_1.0_genomic.fna"
"410","GCA_006942095.1","Scaffold",22234,1178460,"Nothobranchius kuhntae","2019-07-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_006942095.1/GCA_006942095.1_MPIBA_Nkuh_1.0_genomic.fna"
"411","GCA_007210695.1","Contig",2817412,NA,"Neogobius melanostomus","2019-07-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_007210695.1/GCA_007210695.1_RGoby_Basel_V2_genomic.fna"
"204","GCA_007224835.1","Scaffold",133131,340819,"Danionella translucida","2019-07-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_007224835.1/GCA_007224835.1_ASM722483v1_genomic.fna"
"205","GCA_007896545.1","Chromosome",46411,27459464,"Kryptolebias hermaphroditus","2019-08-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_007896545.1/GCA_007896545.1_ASM789654v1_genomic.fna"
"808","GCA_008086565.1","Scaffold",122955,155821,"Thalassoma bifasciatum","2019-08-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008086565.1/GCA_008086565.1_UOO_Thbifa_1.2_genomic.fna"
"614","GCA_008269305.1","Contig",11851,NA,"Oreochromis spilurus","2019-09-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008269305.1/GCA_008269305.1_ASM826930v1_genomic.fna"
"412","GCA_008360985.1","Scaffold",243852,252501,"Macquaria ambigua","2019-09-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008360985.1/GCA_008360985.1_GOP001_1.1_genomic.fna"
"809","GCA_008369825.1","Chromosome",2833080,24885746,"Triplophysa tibetana","2019-09-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008369825.1/GCA_008369825.1_ASM836982v1_genomic.fna"
"615","GCA_008586565.1","Scaffold",28180,991358,"Oryzias sinensis","2019-09-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008586565.1/GCA_008586565.1_ASM858656v1_genomic.fna"
"206","GCA_008933995.1","Scaffold",3802431,9689676,"Datnioides undecimradiatus","2019-10-10","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_008933995.1/GCA_008933995.1_BGI_Dund_1.0_genomic.fna"
"413","GCA_009108245.1","Scaffold",81474,81583,"Ompok bimaculatus","2019-10-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009108245.1/GCA_009108245.1_ASM910824v1_genomic.fna"
"616","GCA_009193085.1","Contig",4133,NA,"Sander vitreus","2019-10-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009193085.1/GCA_009193085.1_ASM919308v1_genomic.fna"
"414","GCA_009660295.1","Contig",104538,NA,"Lophius piscatorius","2019-11-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009660295.1/GCA_009660295.1_BF2_Nord_genomic.fna"
"207","GCA_009663075.1","Scaffold",42011,54640,"Gambusia holbrooki","2019-11-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009663075.1/GCA_009663075.1_ASM966307v1_genomic.fna"
"13","GCA_009756435.1","Scaffold",42918,48322,"Chionodraco myersi","2019-12-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009756435.1/GCA_009756435.1_Cmyersi_v0.1_genomic.fna"
"14","GCA_009756495.1","Scaffold",2261,51057,"Chionodraco hamatus","2019-12-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009756495.1/GCA_009756495.1_Chamatus_v0.1_genomic.fna"
"810","GCA_009823395.1","Chromosome",22457894,23049015,"Thamnaconus septentrionalis","2020-01-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009823395.1/GCA_009823395.1_ASM982339v1_genomic.fna"
"15","GCA_009869775.1","Scaffold",121415,3669388,"Culter alburnus","2020-01-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009869775.1/GCA_009869775.1_ASM986977v1_genomic.fna"
"208","GCA_009936485.1","Scaffold",54271,1179548,"Gymnarchus niloticus","2020-01-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_009936485.1/GCA_009936485.1_ASM993648v1_genomic.fna"
"811","GCA_010014945.2","Scaffold",4199,13745574,"Syngnathus floridae","2022-11-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_010014945.2/GCA_010014945.2_ASM1001494v2_genomic.fna"
"617","GCA_010277015.1","Scaffold",101021,4228945,"Poeciliopsis turrubarensis","2020-02-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_010277015.1/GCA_010277015.1_ASM1027701v1_genomic.fna"
"618","GCA_010277075.1","Scaffold",15063430,21601530,"Poeciliopsis retropinna","2020-02-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_010277075.1/GCA_010277075.1_ASM1027707v1_genomic.fna"
"619","GCA_010882115.1","Scaffold",103007,5188763,"Protosalanx chinensis","2020-02-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_010882115.1/GCA_010882115.1_ASM1088211v1_genomic.fna"
"620","GCA_010883035.1","Scaffold",56887,1540873,"Poeciliopsis occidentalis","2020-02-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_010883035.1/GCA_010883035.1_ASM1088303v1_genomic.fna"
"16","GCA_011419295.1","Scaffold",47837,80802,"Clarias macrocephalus","2020-03-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011419295.1/GCA_011419295.1_DU_Cmac_1.0_genomic.fna"
"415","GCA_011763505.1","Scaffold",8114,2577483,"Lythrypnus dalli","2020-03-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011763505.1/GCA_011763505.1_ASM1176350v1_genomic.fna"
"416","GCA_011763525.2","Scaffold",18324,25450324,"Mormyrus iriodes","2022-09-26","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011763525.2/GCA_011763525.2_ASM1176352v2_genomic.fna"
"209","GCA_011823955.1","Scaffold",3015437,36983948,"Dissostichus mawsoni","2020-04-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011823955.1/GCA_011823955.1_KU_Dm_1.0_genomic.fna"
"812","GCA_011952075.1","Chromosome",77506,29777865,"Siniperca knerii","2020-04-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011952075.1/GCA_011952075.1_sinKne6b_genomic.fna"
"813","GCA_011952095.1","Chromosome",83753,30166107,"Siniperca scherzeri","2020-04-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011952095.1/GCA_011952095.1_sinSch6b_genomic.fna"
"17","GCA_011952105.1","Chromosome",76587,28603870,"Coreoperca whiteheadi","2020-04-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_011952105.1/GCA_011952105.1_corWhi6b_genomic.fna"
"18","GCA_012411365.1","Chromosome",7408031,32284220,"Ameiurus melas","2020-04-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_012411365.1/GCA_012411365.1_AMELA_1.0_genomic.fna"
"417","GCA_012432095.1","Chromosome",10809623,34067727,"Onychostoma macrolepis","2020-04-17","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_012432095.1/GCA_012432095.1_ASM1243209v1_genomic.fna"
"814","GCA_012861695.1","Scaffold",968532,15527446,"Trematomus loennbergii","2020-04-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_012861695.1/GCA_012861695.1_KUTl01_genomic.fna"
"210","GCA_012976165.1","Scaffold",719175,719175,"Labeo catla","2020-05-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_012976165.1/GCA_012976165.1_CIFA_Catla_1.0_genomic.fna"
"19","GCA_013133815.1","Chromosome",18269829,43466551,"Cromileptes altivelis","2020-05-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013133815.1/GCA_013133815.1_SYSU_Calt_1.1_genomic.fna"
"20","GCA_013358685.1","Chromosome",10114706,22928215,"Antennarius maculatus","2020-06-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013358685.1/GCA_013358685.1_fAntMac1.pri_genomic.fna"
"418","GCA_013363375.1","Scaffold",40093,4493486,"Menidia beryllina","2020-06-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013363375.1/GCA_013363375.1_ASM1336337v1_genomic.fna"
"621","GCA_013375575.1","Scaffold",1429287,1429287,"Percina caprodes","2020-06-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013375575.1/GCA_013375575.1_MU_Pcap_1.0_genomic.fna"
"21","GCA_013435755.1","Chromosome",3839513,37146573,"Amphilophus citrinellus","2020-07-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013435755.1/GCA_013435755.1_ASM1343575v1_genomic.fna"
"211","GCA_013461565.1","Scaffold",2199,3580,"Labeo gonius","2020-07-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013461565.1/GCA_013461565.1_ASM1346156v1_genomic.fna"
"22","GCA_013621035.1","Scaffold",1226249,1316675,"Clarias magur","2020-07-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_013621035.1/GCA_013621035.1_C_magur1.0_genomic.fna"
"212","GCA_014132575.2","Chromosome",544634,17641857,"Gasterosteus nipponicus","2020-07-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014132575.2/GCA_014132575.2_Gnip_1.0_genomic.fna"
"622","GCA_014183145.1","Chromosome",151930,25657701,"Sciaenops ocellatus","2020-08-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014183145.1/GCA_014183145.1_ASM1418314v1_genomic.fna"
"419","GCA_014281875.1","Chromosome",4420150,25433336,"Nibea albiflora","2020-08-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014281875.1/GCA_014281875.1_ASM1428187v1_genomic.fna"
"213","GCA_014490765.1","Scaffold",30813,56314,"Eleutheronema tetradactylum","2020-09-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014490765.1/GCA_014490765.1_CUHK_ma_10x_genomic.fna"
"623","GCA_014656515.1","Scaffold",6114092,28928686,"Oryzias celebensis","2020-09-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014656515.1/GCA_014656515.1_OryCel_1.0_genomic.fna"
"815","GCA_014673565.1","Chromosome",5473395,7939220,"Sebastes schlegelii","2020-09-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014673565.1/GCA_014673565.1_ASM1467356v1_genomic.fna"
"816","GCA_014706435.1","Scaffold",13869,3169562,"Silurus glanis","2020-10-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014706435.1/GCA_014706435.1_S_gla_Hod_UTU_1.0_genomic.fna"
"420","GCA_014773175.1","Scaffold",62305,120915,"Lucifuga dentata","2020-09-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014773175.1/GCA_014773175.1_Ldentata1.0_genomic.fna"
"421","GCA_014825785.1","Scaffold",14340,60945,"Odontesthes bonariensis","2020-09-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014825785.1/GCA_014825785.1_GWU_Obon_1.1_genomic.fna"
"23","GCA_014839685.1","Chromosome",17460000,39321252,"Anableps anableps","2020-10-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014839685.1/GCA_014839685.1_fAnaAna1.pri_genomic.fna"
"1000","GCA_014839995.1","Chromosome",2195850,28679447,"Xenentodon cancila","2020-10-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_014839995.1/GCA_014839995.1_fXenCan1.pri_genomic.fna"
"624","GCA_015052225.1","Scaffold",13689,29954,"Oreochromis tanganicae","2020-10-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015052225.1/GCA_015052225.1_JAB6.scf_genomic.fna"
"24","GCA_015052265.1","Scaffold",7608,18957,"Cyprichromis pavo","2020-10-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015052265.1/GCA_015052265.1_JEB2.scf_genomic.fna"
"214","GCA_015052305.1","Scaffold",10032,19550,"Hemibates koningsi","2020-10-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015052305.1/GCA_015052305.1_IZA5.scf_genomic.fna"
"215","GCA_015052345.1","Scaffold",9409,19269,"Lamprologus callipterus","2020-10-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015052345.1/GCA_015052345.1_IPH2.scf_genomic.fna"
"422","GCA_015052385.1","Scaffold",9174,20635,"Limnochromis abeelei","2020-10-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_015052385.1/GCA_015052385.1_ITB4.scf_genomic.fna"
